COUNTRY_CODE,REPORT_COUNT,MAX_RATE,MIN_RATE,AVG_RATE
AFG,10,61.87907,4.987460136413574,32.3325471384165
ALB,18,99.49808,94.68180847167969,98.13331683688259
DZA,18,95.74706,35.83992004394531,77.56845970683757
ASM,4,97.8886184692383,97.21990966796875,97.5055351247998
AGO,8,84.86238,53.40721130371094,71.6127849886377
ATG,6,99.41999816894531,98.40000153,98.90999984947264
ARG,34,99.48,93.58088684082031,98.28047578530732
ARM,16,99.9105682373047,98.15013885498047,99.6301740413684
ABW,10,99.3231,96.71977996826172,98.02188417107813
AZE,44,100,98.1747817993164,99.8060071101225
BHR,16,98.61991,58.59109115600586,88.10823335439025
BGD,40,93.53532,17.971630096435547,59.64255810185351
BRB,12,99.8000030517578,99.25155639648438,99.57159741621257
BLR,14,99.87651062011719,96.62821960449219,99.49962047085378
BLZ,6,79.8089294433594,70.26876831,75.50308227544923
BEN,22,63.94092,9.538960456848145,36.467620800270886
BTN,10,90.39581,38.680660247802734,66.99292121169726
BOL,36,99.75361,51.37464904785156,91.8669485064719
BIH,14,99.84363,81.9593276977539,97.13634588098634
BWA,10,95.59602,65.38694,83.83288661366211
BRA,56,99.25031,72.8531494140625,92.6918891376207
BRN,18,99.54606,68.84182739257812,93.37033435066624
BGR,8,98.74723053,97.65106,98.16395685631592
BFA,34,56.994890000000005,3.390589952468872,26.648125491555806
BDI,22,85.29008,11.983570098876953,54.5840266312085
KHM,20,89.38368,56.99250030517578,78.9930263592871
CMR,18,89.41731999999999,29.116130828857422,71.92962931094347
CPV,14,98.73018,52.998619079589844,85.33526840120116
CYM,4,99.14231,98.62333000000001,98.87737649140136
CAF,16,72.59475,8.399580001831055,40.85156335416047
TCD,20,55.6862,4.591829776763916,28.57335707520294
CHL,32,99.60537,90.80011749267578,97.08544760681886
CHN,18,99.68961999999999,51.136810302734375,89.646079326977
COL,56,98.97285,90.97265625,95.32012560167446
COM,14,83.95133,40.31761932373047,62.86836488852889
COG,10,86.43431091,49.001338958740234,75.6497377226924
CRI,14,99.25811999999999,92.57713317871094,96.66557901837892
CIV,22,93.14134979,23.433780670166016,50.33462854319425
HRV,12,99.73572,94.81722259521484,98.85751647139973
CUB,8,99.95741,99.70606232,99.84571771928957
CYP,12,99.83830999999999,91.00177764892578,98.1986626917448
COD,16,91.04756,46.104251861572266,73.46850587012207
DOM,38,98.25251999999999,72.53607940673828,91.72863474278373
ECU,54,99.33717,80.40522766113281,94.40243531137445
EGY,34,93.64928,22.43800926208496,69.63558978887798
SLV,44,98.43374,71.28053283691406,89.1827534632089
GNQ,6,97.6079,81.62300109863281,93.09297187083659
ERI,10,91.28661,40.22441864013672,71.84071993374998
EST,12,99.95904,99.60147857666016,99.83009889771323
SWZ,18,94.74849,53.665958404541016,80.09103075902506
ETH,18,62.97093,17.97719955444336,40.89988087572888
GAB,10,94.4075469970703,65.32630920410156,84.21394882010938
GMB,10,65.97576,25.06155014038086,49.021193346326164
GEO,12,99.86236,99.29474639892578,99.61895933442872
GHA,10,88.31075,49.791961669921875,73.07657023756444
GRC,30,99.67996,85.31999206542969,96.66529746362109
GRD,12,99.07742309570308,97.58978271484375,98.52331034327311
GUM,8,99.9000015258789,95.3572616577148,97.82270431511962
GTM,22,95.48186,57.292659759521484,81.01804542647284
GIN,18,59.46236999999999,9.743069648742676,33.619827313806695
GNB,12,74.80124,8.58825969696045,44.9317525838617
GUY,8,97.03701,82.43656158,90.06222862327148
HTI,14,82.65737,32.524959564208984,58.54630271449776
HND,40,97.24561,79.78523254,89.79242116144728
HUN,8,99.42166137695308,98.45413208007812,99.13123798360594
IND,22,90.04483,25.676250457763672,64.79848799388539
IDN,44,99.70176,57.69462966918945,93.66732049421897
IRN,44,98.33391999999999,24.423080444335938,81.22120101162244
IRQ,16,91.19999695,48.63865,76.5938148009961
ISR,4,99.05457305908199,88.67472076416016,95.18468093761228
ITA,14,99.8687,95.53666687011719,98.89589222537529
JAM,6,96.29552,74.08184052,86.61680464168946
JOR,30,99.32879,52.11061096191406,93.88818158070897
KAZ,18,99.94014,96.1387710571289,99.52640561315106
KEN,14,93.30951999999999,66.86312103271484,82.46123464864817
KWT,54,99.78759000000001,48.01520919799805,90.23968211725443
KGZ,10,99.79959000000001,98.13063049316406,99.4010357076836
LAO,22,89.96128082,47.90235900878906,72.96631923064143
LVA,14,99.90792083740234,99.18879699707031,99.7681977432394
LBN,10,99.33674,85.96778106689453,94.7842224592461
LSO,12,97.49609,65.5219574,83.11575105176756
LBR,12,65.7604217529297,19.30278968811035,47.1586290782316
LBY,10,99.4237823486328,42.31354904174805,81.62577514551367
LTU,12,99.86662,97.7815933227539,99.5311055448177
MAC,20,99.86617,86.21588134765625,96.03922607075097
MDG,16,78.41248,54.75429916381836,69.3860561274945
MWI,20,82.0912322998047,33.52302169799805,66.08751315068602
MYS,24,98.45826,61.24850082397461,91.10121223214395
MDV,28,99.43955,82.17816162109375,95.41675402064593
MLI,30,60.525490000000005,5.7352800369262695,31.33783482217293
MLT,16,99.38656999999999,86.43028259,93.51984035241944
MHL,4,98.7567,98.16972,98.36362213537598
MRT,12,67.95720673,35.34843063354492,55.390976392624516
MUS,24,98.57592,74.660888671875,90.88825964084553
MEX,72,99.07946,79.89099884033203,94.79284418605766
MDA,12,99.73853302001949,94.4444808959961,98.5589905093229
MNG,12,99.2410888671875,96.99861,98.30128167506022
MNE,18,99.45795,83.23545837402344,97.21154155725259
MAR,32,94.62719,17.514869689941406,63.48822756107148
MOZ,20,79.84044,12.096529960632324,51.040337555245486
MMR,14,95.7881,71.63086700439453,85.4986806695745
NAM,18,95.34631999999999,73.98660278320312,86.54307653292318
NPL,18,89.88401999999999,9.153120040893555,51.98297909749212
NCL,12,98.86099243164058,90.310791015625,95.74928474421387
NIC,10,88.84248000000001,76.6016616821289,82.10385016760742
NER,14,52.44951999999999,9.3993501663208,27.471921915060683
NGA,16,81.3560333251953,41.38676071166992,62.775796397487795
PRK,4,99.99979,99.99761199951172,99.99893011987794
MKD,12,99.1444625854492,90.92801666259766,97.32057229991864
OMN,28,99.43405,73.53170776367188,93.41547928477188
PAK,52,80.28826,14.771550178527832,57.871735914881924
PLW,14,99.8295,90.50324249267578,96.74225976361745
PSE,60,99.45153,79.76364135742188,96.70849474870539
PAN,20,97.93446999999999,88.0465316772461,93.89203967413769
PNG,6,69.13374,50.91773986816406,61.79080554400716
PRY,44,98.98827,75.85298156738281,94.39528194057972
PER,46,99.23966999999999,73.85833740234375,93.72399584438648
PHL,30,98.81543,82.76215362548828,94.44591599149804
POL,12,99.9992523193359,98.25198364257812,99.14179356807618
PRT,14,99.47964,74.60798645019531,93.60123573578961
PRI,14,98.85419,85.850341796875,92.34952655365372
QAT,48,99.83464000000001,72.45894622802734,92.72589473124835
ROU,14,99.1800689697266,94.9826889038086,98.2042088499163
RUS,14,99.77128,96.75817108154297,99.44884528188477
RWA,22,83.48739,26.573579788208008,68.18999871424782
WSM,10,99.45804,97.42173767089844,98.85476651816407
STP,22,97.12077,42.363380432128906,83.48084579187233
SAU,20,99.30072,57.27783966064453,89.33701232354785
SEN,26,74.20335,17.863269805908203,48.87716056777531
SRB,12,99.87580872,94.06828308105469,98.64698921174967
SYC,18,99.38308,82.93166351,94.24346688332791
SLE,10,64.5305,24.1589298248291,43.58603403789747
SGP,46,99.94051,73.96853637695312,96.79382115991
SVN,8,99.7790069580078,99.45375061035156,99.64397716509276
SLB,4,83.69999695,69,76.349998475
SOM,2,7.198440075,3.6871700286865234,5.442805051843262
ZAF,40,99.27071,74.80718994140625,93.00898601557176
KOR,2,98.31552124,97.61865997314453,97.96709060657227
SSD,6,44.07936,19.18638038635254,32.80155967936686
ESP,62,99.75731,89.93692016601562,98.46122894263168
LKA,28,98.58896999999999,82.02197265625,92.78317017652343
SDN,10,85.69496,46.69963073730469,64.11350347761426
SUR,18,99.45978000000001,87.19744110107422,95.17806226872287
SYR,12,97.14407,37.05915832519531,80.00662232867188
TJK,10,99.84971999999999,96.64179992675781,99.29599581031837
TZA,20,87.1745,48.08802032470703,76.12523373391306
THA,26,98.65491,83.89334869384766,95.16953783934194
TLS,10,80.48976,30,58.7988646633789
TGO,22,89.67246999999999,38.45328903198242,68.73406189086249
TON,18,99.8410491943359,98.83406067,99.36759866658203
TTO,12,99.3000030517578,93.46417236328125,97.83215840632649
TUN,34,98.23633000000001,35.76757049560547,83.99049933874136
TUR,66,99.8061,45.09891891479492,91.09563759512297
TKM,6,99.81292724609379,98.26177215576172,99.42626444507813
UGA,22,89.63519000000001,44.826690673828125,74.95077945091842
UKR,8,99.99394226,99.17156982421875,99.80221146519776
ARE,14,98.02413177,38.12487030029297,77.94511071621511
URY,60,99.39062,93.38825989,98.22447062947982
UZB,22,100,98.13858032226562,99.86039012396573
VUT,16,88.30635071,47.782588958740234,73.46438908620239
VEN,32,99.31739,83.0046615600586,95.29814586331787
VNM,22,97.39524,78.14038848876953,92.45844316773706
YEM,6,82.8042221069335,17.059560775756836,50.021044730988756
ZMB,22,91.19563000000001,51.78696823120117,72.48123816000178
ZWE,16,96.54061889648442,71.85392761230469,87.54795194355957
AND,4,100,100,100
GRL,2,100,100,100
